Matricula,Grupo,Practica1,Practica2,Practica3,Practica4,Practica5,Practica6,Practica7,Practica8,Practica9,Practica10,Pactica11,Practica12,Total
5286,,7,10,10,10,10,10,10,10,0,10,,,8.818181818181818
2911,,7,10,0,0,0,0,0,0,0,0,,,2.4545454545454546
2390,,7,10,10,10,10,10,10,7,10,10,,,9.454545454545455
3478,,10,10,10,10,10,10,10,10,10,10,,,10.0
0119,,10,10,10,10,10,10,10,10,10,10,,,10.0
6792,,0,0,0,0,0,0,0,0,0,0,,,0.0
9670,,0,0,0,0,0,0,0,0,0,0,,,0.0
8005,,7,0,7,0,0,7,7,7,10,7,,,5.636363636363637
5758,,10,10,7,7,10,10,10,0,10,10,,,8.545454545454545
7003,,10,10,10,10,0,10,10,0,10,10,,,8.181818181818182
5386,,10,10,10,10,10,10,10,0,10,7,,,8.818181818181818
9736,,7,10,10,10,10,10,10,7,10,10,,,9.454545454545455
3303,,7,10,10,10,10,10,10,10,10,10,,,9.727272727272727
9297,,10,10,10,10,10,10,10,7,10,10,,,9.727272727272727
5267,,7,7,10,10,10,10,10,7,10,0,,,8.272727272727273
9744,,7,10,7,7,10,10,10,7,10,7,,,8.636363636363637
9484,,10,7,10,10,10,10,10,0,10,7,,,8.545454545454545
2869,,7,10,0,0,10,10,10,7,10,10,,,7.636363636363637
5131,,7,7,10,10,10,10,10,7,10,7,,,8.909090909090908
5628,,7,7,10,10,10,10,10,7,10,7,,,8.909090909090908
6728,,10,10,10,10,10,10,10,10,10,10,,,10.0
0098,,10,7,10,0,10,10,10,10,10,10,,,8.818181818181818
0204,,7,7,10,10,10,10,10,7,10,10,,,9.181818181818182
