Matricula,Grupo,Practica1,Practica2,Practica3,Practica4,Practica5,Practica6,Practica7,Practica8,Practica9,Practica10,Pactica11,Practica12,Total
1902,,7,7,7,7,0,7,7,7,7,7,,,6.636363636363637
8383,,7,7,0,0,10,10,0,0,10,0,,,4.909090909090909
1258,,10,7,0,0,0,0,0,0,0,0,,,1.5454545454545454
5714,,7,7,0,0,0,0,0,0,0,7,,,1.9090909090909092
9511,,7,7,10,10,10,10,10,7,7,10,,,8.909090909090908
5176,,0,0,0,0,0,0,0,0,0,0,,,0.0
9247,,0,0,0,0,0,0,0,0,0,0,,,0.0
1010,,0,10,10,7,10,7,0,0,0,0,,,4.0
7745,,0,0,0,0,0,0,0,0,0,0,,,0.0
6817,,10,10,10,10,0,10,10,7,10,10,,,7.909090909090909
0370,,10,10,10,10,0,10,10,10,7,0,,,7.0
5469,,7,0,10,7,10,7,10,7,7,7,,,6.545454545454546
4552,,0,0,0,0,0,0,0,0,0,0,,,0.0
0204,,7,7,10,10,10,10,10,7,10,10,,,9.181818181818182
6603,,7,10,0,0,0,0,0,0,0,0,,,1.5454545454545454
6213,,7,10,10,0,0,7,10,7,7,7,,,6.818181818181818
3741,,0,0,0,0,0,0,0,0,0,0,,,0.0
2977,,10,10,10,10,0,0,0,0,0,0,,,3.6363636363636362
2472,,7,7,0,0,10,10,10,7,7,7,,,5.909090909090909
6224,,0,0,0,0,0,0,0,0,0,0,,,0.0
3673,,7,10,10,7,10,10,10,0,7,10,,,8.272727272727273
3353,,7,7,10,7,10,10,7,0,7,10,,,7.7272727272727275
